地名,センター,燃やすごみ,燃やさないごみ,プラスチック製容器包装,ペットボトル,エリア
舟（農免道路から東側の地域）,環境の森センター・きづがわ,火 金,月1 月3,月,水2 水4,1
滝ノ鼻,環境の森センター・きづがわ,火 金,月1 月3,月,水2 水4,1
中久保田,環境の森センター・きづがわ,火 金,月1 月3,月,水2 水4,1
菱田（農免道路から東側の地域）,環境の森センター・きづがわ,火 金,月1 月3,月,水2 水4,1
西北（農免道路から東側の地域）,環境の森センター・きづがわ,月 木,火1 火3,火,木1 木3,2
中（農免道路から東側の地域）,環境の森センター・きづがわ,月 木,火1 火3,火,木1 木3,2
中（農免道路から東側の地域）,環境の森センター・きづがわ,月 木,火1 火3,火,木1 木3,2
東,環境の森センター・きづがわ,月 木,火1 火3,火,木1 木3,2
馬渕,環境の森センター・きづがわ,月 木,火1 火3,火,木1 木3,2
北ノ堂,環境の森センター・きづがわ,月 木,火1 火3,火,木1 木3,2
狛田一丁目,環境の森センター・きづがわ,火 金,木1 木3,木,火2 火4,3
狛田二丁目,環境の森センター・きづがわ,火 金,木1 木3,木,火2 火4,3
舟（農免道路から西側の地域）,環境の森センター・きづがわ,火 金,木1 木3,木,火2 火4,3
僧坊（旧府道から東側の地域）,環境の森センター・きづがわ,月 木,木1 木3,木,火2 火4,3
菱田（旧府道から東側の地域）,環境の森センター・きづがわ,火 金,木1 木3,木,火2 火4,3
里,環境の森センター・きづがわ,火 金,木1 木3,木,火2 火4,3
旭,環境の森センター・きづがわ,火 金,金1 金3,金,金2 金4,4
僧坊（旧府道から西側の地域）,環境の森センター・きづがわ,月 木,金1 金3,金,金2 金4,4
谷,環境の森センター・きづがわ,月 木,金1 金3,金,金2 金4,4
菱田（旧府道から西側の地域）,環境の森センター・きづがわ,火 金,金1 金3,金,金2 金4,4
北稲八間（旧府道から西側の地域）,環境の森センター・きづがわ,火 金,金1 金3,金,金2 金4,4
南（旧府道から東側の地域）,環境の森センター・きづがわ,火 金,月2 月4,月,水2 水4,5
菅井,環境の森センター・きづがわ,月 木,月2 月4,月,水2 水4,5
西北（農免道路から西側の地域）,環境の森センター・きづがわ,月 木,月2 月4,月,水2 水4,5
中（農免道路から西側の地域）,環境の森センター・きづがわ,月 木,月2 月4,月,水2 水4,5
中（農免道路から西側の地域）,環境の森センター・きづがわ,火 金,月2 月4,月,水2 水4,5
北稲八間（旧府道から東側の地域）,環境の森センター・きづがわ,火 金,月2 月4,月,水2 水4,5
南（旧府道から西側の地域）,環境の森センター・きづがわ,火 金,火2 火4,火,木1 木3,6
祝園西一丁目,環境の森センター・きづがわ,火 金,火2 火4,火,木1 木3,6
植田,環境の森センター・きづがわ,水 土,火2 火4,火,木1 木3,6
南稲八妻,環境の森センター・きづがわ,水 土,火2 火4,火,木1 木3,6
乾谷,環境の森センター・きづがわ,月 木,木2 木4,木,火2 火4,7
柘榴,環境の森センター・きづがわ,月 木,木2 木4,木,火2 火4,7
東畑,環境の森センター・きづがわ,月 木,木2 木4,木,火2 火4,7
桜が丘,環境の森センター・きづがわ,月 木,金2 金4,金,金1 金3,8
山田,環境の森センター・きづがわ,月 木,金2 金4,金,金1 金3,8
光台,環境の森センター・きづがわ,火 金,水2 水4,水,月1 月3,9
精華台,環境の森センター・きづがわ,火 金,水1 水3,水,月2 月4,10
