type,name,notice,furigana
粗大ごみ,ⅠＨクッキングヒーター,,あ
燃やすごみ,アイスパック（アイスノン） ,,あ
燃やすごみ,アルバム,,あ
燃やすごみ,足拭きマット,,あ
燃やすごみ,油（食用）　　,,あ
燃やさないごみ,安全ピン,,あ
粗大ごみ,アイロン・アイロン台,,あ
粗大ごみ,アコーディオンカーテン,,あ
粗大ごみ,アンテナ（テレビ用） ,,あ
粗大ごみ,按摩器（マッサージ機） ,,あ
粗大ごみ,雨戸・網戸（木製・シャッター）２枚まで,,あ
燃やさないごみ,空きカン（スチール・アルミ） ,,あ
燃やさないごみ,空きびんふた（金属製） ,,あ
プラスチック製容器包装,空きびんふた（プラスチック製） ,,あ
燃やさないごみ,行火（あんか） ,,あ
燃やすごみ,インクカートリッジ,,い
燃やすごみ,衣類（下着類） ,,い
燃やすごみ,印鑑（木製・プラスチック製） ,,い
燃やすごみ,色鉛筆,,い
燃やすごみ,板,,い
燃やさないごみ,一升びん,,い
燃やさないごみ,一斗缶,,い
燃やさないごみ,印鑑（木製・プラスチック製以外） ,,い
粗大ごみ,いす,,い
粗大ごみ,イヤホン,,い
粗大ごみ,衣装ケース,,い
粗大ごみ,一輪車（運搬用・スポーツ用） ,,い
粗大ごみ,犬小屋,,い
燃やさないごみ,鋳物類,,い
燃やさないごみ,入れ歯,,い
燃やさないごみ,板ガラス,,い
粗大ごみ,板戸　２枚まで,,い
燃やすごみ,ウエットティッシュ,,う
燃やすごみ,うちわ,,う
燃やすごみ,植木,,う
燃やすごみ,運動靴,,う
燃やすごみ,浮き輪,,う
燃やすごみ,裏カーボン紙,,う
粗大ごみ,ウエットスーツ,,う
粗大ごみ,ウッドデッキ,,う
燃やさないごみ,植木鉢（プラスチック製） ,,う
燃やさないごみ,植木鉢（陶磁器製） ,,う
粗大ごみ,乳母車,,う
燃やさないごみ,腕時計,,う
燃やすごみ,鉛筆,,え
燃やすごみ,絵の具のチューブ（プラスチック製） ,,え
燃やすごみ,枝、剪定枝（自家処理：長さ50㎝以下で直径８㎝以下） ,,え
燃やさないごみ,LED電球、LED蛍光灯,,え
燃やさないごみ,延長コード,,え
燃やさないごみ,鉛筆削り（手動式） ,,え
粗大ごみ,エレクトーン,,え
粗大ごみ,液晶タブレット,,え
粗大ごみ,園芸用支柱（プラスチック製） ,,え
粗大ごみ,園芸用支柱（金属製） ,,え
粗大ごみ,鉛筆削り（電動式） ,,え
燃やさないごみ,枝切りバサミ,,え
粗大ごみ,枝、剪定枝（自家処理：長さ50㎝以上で直径８㎝以上） ,,え
燃やすごみ,オイル（食用） ,,お
燃やすごみ,おむつ,,お
燃やすごみ,おもちゃ（木製） ,,お
燃やすごみ,お玉（木製・プラスチック製） ,,お
燃やすごみ,お盆（プラスチック製） ,,お
燃やすごみ,お盆（木製） ,,お
燃やすごみ,落ち葉,,お
燃やさないごみ,おもちゃ（金属製） ,,お
燃やさないごみ,お玉（金属製） ,,お
燃やさないごみ,お盆（金属製） ,,お
粗大ごみ,オイルヒーター,,お
粗大ごみ,オーブントースター・レンジ,,お
粗大ごみ,オットマン,,お
粗大ごみ,おまる,,お
粗大ごみ,オルガン,,お
燃やさないごみ,折りたたみ傘粗大ごみ・,,お
粗大ごみ,置き時計,,お
燃やすごみ,カーテン,,か
燃やすごみ,カーボン紙,,か
燃やすごみ,かご（木製） ,,か
燃やすごみ,カセットテープ（ケース含む） ,,か
燃やすごみ,カッパ（レインコート） ,,か
燃やすごみ,カップ麺の容器・ふた（紙製） ,,か
燃やすごみ,かつら,,か
燃やすごみ,貝殻,,か
燃やすごみ,革製品・革靴,,か
燃やすごみ,鞄,,か
燃やすごみ,刈り草,,か
燃やすごみ,乾燥剤,,か
燃やすごみ,感熱紙,,か
燃やすごみ,換気扇カバー・フイルター・シート,,か
燃やすごみ,枯葉,,か
